servicio_id,fecha_ingreso,fecha_salida,cliente,equipo,tipo_equipo,falla_reportada,tecnico,estado,costo_repuestos_usd,costo_mano_obra_usd,facturacion_total_usd,tiempo_resolucion_dias
5091,2025-01-09,2025-01-14,Astilleros Navales S.A.,Motosoldadora Lincoln Ranger 305,Motosoldadora,Carburador obstruido,Mec. L. Herrera (Motores),Entregado,762.68,371.94,1134.62,5.0
5096,2025-01-11,2025-01-20,Metalúrgica del Sur,Motocompresor Kaeser M50,Motocompresor,Rotura de acople de motor,Mec. L. Herrera (Motores),Entregado,878.11,656.42,1534.53,9.0
5019,2025-01-11,2025-01-22,Astilleros Navales S.A.,Inversor Lincoln Electric 250,Electrónica / Placas,Sensor de temperatura defectuoso,Ing. R. Benítez (Electrónica),Entregado,374.17,165.62,539.79,11.0
5051,2025-01-12,2025-01-20,Metalúrgica del Sur,Cortadora Plasma Hypertherm Powermax 45,Equipo de Corte,Arco inestable,Tec. J. Castro (Sistemas Neumáticos),Listo para Entrega,153.72,128.46,0.0,8.0
5072,2025-01-15,2025-01-21,Constructora Omega,Motosoldadora Lincoln Ranger 305,Motosoldadora,Carburador obstruido,Mec. L. Herrera (Motores),Entregado,565.3,179.01,744.31,6.0
5092,2025-01-15,2025-01-31,Metalúrgica del Sur,Motosoldadora Lincoln Ranger 305,Motosoldadora,Falla en alternador auxiliar,Mec. L. Herrera (Motores),Entregado,417.78,403.28,821.06,16.0
5038,2025-01-15,2025-01-24,Astilleros Navales S.A.,Cortadora Plasma Hypertherm Powermax 45,Equipo de Corte,Falta de arco piloto,Tec. J. Castro (Sistemas Neumáticos),Entregado,144.97,186.3,331.27,9.0
5013,2025-01-22,Pendiente,Minería del Norte,Inversor Lincoln Electric 250,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),Presupuestado,596.78,312.38,0.0,
5022,2025-01-23,2025-01-27,Metalúrgica del Sur,Inversor Lincoln Electric 250,Electrónica / Placas,Sensor de temperatura defectuoso,Ing. R. Benítez (Electrónica),Entregado,275.84,313.11,588.95,4.0
5119,2025-01-25,Pendiente,Taller Metalmecánico Pérez,Soldadora MIG/MAG Kemppi MasterTig,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),Presupuestado,103.29,325.3,0.0,
5071,2025-02-09,2025-02-25,Taller Metalmecánico Pérez,Motosoldadora Lincoln Ranger 305,Motosoldadora,Filtros tapados / Pérdida de potencia,Mec. L. Herrera (Motores),Entregado,673.47,500.2,1173.67,16.0
5027,2025-02-10,Pendiente,Minería del Norte,Soldador Miller Trailblazer 325,Motosoldadora,Filtros tapados / Pérdida de potencia,Mec. L. Herrera (Motores),En Reparación,297.43,297.92,0.0,
5059,2025-02-11,Pendiente,Astilleros Navales S.A.,Inversor TIG ESAB Rogue,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),En Reparación,610.51,293.38,0.0,
5089,2025-02-13,Pendiente,Astilleros Navales S.A.,Motosoldadora Lincoln Ranger 305,Motosoldadora,Filtros tapados / Pérdida de potencia,Mec. L. Herrera (Motores),Presupuestado,858.43,554.62,0.0,
5021,2025-02-20,2025-03-01,Constructora Omega,Inversor Lincoln Electric 250,Electrónica / Placas,Fallo en potenciómetro de amperaje,Ing. R. Benítez (Electrónica),Entregado,288.9,184.43,473.33,9.0
5120,2025-02-23,2025-02-26,Minería del Norte,Soldadora MIG/MAG Kemppi MasterTig,Electrónica / Placas,Sensor de temperatura defectuoso,Ing. R. Benítez (Electrónica),Entregado,616.87,382.97,999.84,3.0
5139,2025-02-23,2025-02-25,Astilleros Navales S.A.,Equipo Plasma Lincoln Tomahawk 1000,Equipo de Corte,Arco inestable,Tec. J. Castro (Sistemas Neumáticos),Entregado,521.77,325.31,847.0799999999999,2.0
5018,2025-03-03,2025-03-07,Minería del Norte,Inversor Lincoln Electric 250,Electrónica / Placas,Placa inversora quemada,Ing. R. Benítez (Electrónica),Entregado,640.36,363.04,1003.4000000000001,4.0
5070,2025-03-06,2025-03-14,Minería del Norte,Inversor TIG ESAB Rogue,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),Entregado,669.18,196.39,865.5699999999999,8.0
5083,2025-03-06,2025-03-14,Taller Metalmecánico Pérez,Motosoldadora Lincoln Ranger 305,Motosoldadora,Falla de arranque eléctrico,Mec. L. Herrera (Motores),Entregado,129.51,204.42,333.92999999999995,8.0
5058,2025-03-08,Pendiente,Minería del Norte,Inversor TIG ESAB Rogue,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),En Reparación,201.4,230.07,0.0,
5099,2025-03-18,2025-03-23,Metalúrgica del Sur,Motocompresor Kaeser M50,Motocompresor,Rotura de acople de motor,Mec. L. Herrera (Motores),Entregado,508.66,375.54,884.2,5.0
5047,2025-03-24,2025-03-31,Taller Metalmecánico Pérez,Cortadora Plasma Hypertherm Powermax 45,Equipo de Corte,Falla en electroválvula de gas,Tec. J. Castro (Sistemas Neumáticos),Entregado,147.71,219.72,367.43,7.0
5062,2025-03-28,2025-04-01,Minería del Norte,Inversor TIG ESAB Rogue,Electrónica / Placas,Placa inversora quemada,Ing. R. Benítez (Electrónica),Entregado,91.23,266.8,358.03000000000003,4.0
5123,2025-04-07,2025-04-13,Minería del Norte,Compresor de Tornillo Atlas Copco,Motocompresor,Fuga de aceite en unidad compresora,Mec. L. Herrera (Motores),Entregado,836.63,229.48,1066.11,6.0
5045,2025-04-08,Pendiente,Constructora Omega,Cortadora Plasma Hypertherm Powermax 45,Equipo de Corte,Electrodo / Boquilla gastados,Tec. J. Castro (Sistemas Neumáticos),Presupuestado,503.27,164.04,0.0,
5032,2025-04-08,2025-04-15,Constructora Omega,Soldador Miller Trailblazer 325,Motosoldadora,Falla en alternador auxiliar,Mec. L. Herrera (Motores),Entregado,396.75,347.33,744.0799999999999,7.0
5004,2025-04-10,2025-04-22,Constructora Omega,Inversor Lincoln Electric 250,Electrónica / Placas,Sensor de temperatura defectuoso,Ing. R. Benítez (Electrónica),Entregado,400.18,421.34,821.52,12.0
5136,2025-04-17,2025-04-25,Astilleros Navales S.A.,Equipo Plasma Lincoln Tomahawk 1000,Equipo de Corte,Arco inestable,Tec. J. Castro (Sistemas Neumáticos),Entregado,234.49,180.91,415.4,8.0
5001,2025-04-21,2025-04-26,Constructora Omega,Inversor Lincoln Electric 250,Electrónica / Placas,Fallo en potenciómetro de amperaje,Ing. R. Benítez (Electrónica),Entregado,407.54,236.2,643.74,5.0
5026,2025-04-26,2025-05-03,Taller Metalmecánico Pérez,Soldador Miller Trailblazer 325,Motosoldadora,Falla de arranque eléctrico,Mec. L. Herrera (Motores),Entregado,311.33,444.77,756.0999999999999,7.0
5029,2025-04-30,2025-05-05,Taller Metalmecánico Pérez,Soldador Miller Trailblazer 325,Motosoldadora,Falla de arranque eléctrico,Mec. L. Herrera (Motores),Entregado,425.76,231.55,657.31,5.0
5124,2025-05-02,2025-05-17,Minería del Norte,Compresor de Tornillo Atlas Copco,Motocompresor,Rotura de acople de motor,Mec. L. Herrera (Motores),Entregado,793.57,573.68,1367.25,15.0
5082,2025-05-05,2025-05-21,Metalúrgica del Sur,Motosoldadora Lincoln Ranger 305,Motosoldadora,Carburador obstruido,Mec. L. Herrera (Motores),Entregado,417.25,478.51,895.76,16.0
5017,2025-05-06,2025-05-09,Minería del Norte,Inversor Lincoln Electric 250,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),Entregado,660.37,185.19,845.56,3.0
5074,2025-05-10,2025-05-21,Metalúrgica del Sur,Motosoldadora Lincoln Ranger 305,Motosoldadora,Carburador obstruido,Mec. L. Herrera (Motores),Entregado,409.16,297.81,706.97,11.0
5002,2025-05-17,2025-06-03,Minería del Norte,Inversor Lincoln Electric 250,Electrónica / Placas,Condensadores reventados,Ing. R. Benítez (Electrónica),Entregado,539.83,442.71,982.54,17.0
5108,2025-05-21,2025-05-29,Minería del Norte,Motocompresor Kaeser M50,Motocompresor,Pérdida de presión de aire,Mec. L. Herrera (Motores),Entregado,646.71,232.8,879.51,8.0
5142,2025-06-01,2025-06-05,Metalúrgica del Sur,Equipo Plasma Lincoln Tomahawk 1000,Equipo de Corte,Falta de arco piloto,Tec. J. Castro (Sistemas Neumáticos),Listo para Entrega,453.38,357.74,0.0,4.0
5126,2025-06-02,2025-06-05,Metalúrgica del Sur,Compresor de Tornillo Atlas Copco,Motocompresor,Pérdida de presión de aire,Mec. L. Herrera (Motores),Entregado,873.47,235.93,1109.4,3.0
5081,2025-06-04,2025-06-14,Metalúrgica del Sur,Motosoldadora Lincoln Ranger 305,Motosoldadora,Filtros tapados / Pérdida de potencia,Mec. L. Herrera (Motores),Entregado,574.92,524.1,1099.02,10.0
5067,2025-06-09,2025-06-12,Constructora Omega,Inversor TIG ESAB Rogue,Electrónica / Placas,Placa inversora quemada,Ing. R. Benítez (Electrónica),Entregado,394.35,377.0,771.35,3.0
5130,2025-06-13,Pendiente,Constructora Omega,Compresor de Tornillo Atlas Copco,Motocompresor,Pérdida de presión de aire,Mec. L. Herrera (Motores),En Reparación,123.29,223.63,0.0,
